kvp_kv,filtration_inherent_mmal,filtration_added_mmal,filtration_added_mmcu,anode_angle_deg,hvl_mmal
92,2.5,0.0,0.1,9.0,5.174663146156111
92,2.5,0.0,0.4,9.0,7.787857092381099
92,2.5,1.0,0.0,9.0,3.9575381812393338
92,2.5,1.0,0.1,9.0,5.546780536610599
92,2.5,1.0,0.4,9.0,7.928754936963299
93,2.5,0.0,0.0,9.0,3.372203139544365
93,2.5,0.0,0.1,9.0,5.229254744462309
93,2.5,0.0,0.4,9.0,7.853064216342488
93,2.5,1.0,0.0,9.0,4.003007549606046
93,2.5,1.0,0.1,9.0,5.603475110811778
93,2.5,1.0,0.4,9.0,7.9942636425377165
94,2.5,0.0,0.0,9.0,3.4122901412342865
94,2.5,0.0,0.1,9.0,5.2832245771744955
94,2.5,0.0,0.4,9.0,7.917078947979291
94,2.5,1.0,0.0,9.0,4.04819463248914
94,2.5,1.0,0.1,9.0,5.6594475825827
94,2.5,1.0,0.4,9.0,8.058570265565155
95,2.5,0.0,0.0,9.0,3.4522598816754595
95,2.5,0.0,0.1,9.0,5.336608667685513
95,2.5,0.0,0.4,9.0,7.979986362848914
95,2.5,1.0,0.0,9.0,4.093123068838191
95,2.5,1.0,0.1,9.0,5.714738570948892
95,2.5,1.0,0.4,9.0,8.12176228504047
96,2.5,0.0,0.0,9.0,3.4921101028584474
96,2.5,0.0,0.1,9.0,5.389440937693438
96,2.5,0.0,0.4,9.0,8.041860993842882
96,2.5,1.0,0.0,9.0,4.137800354309864
96,2.5,1.0,0.1,9.0,5.769390048409069
96,2.5,1.0,0.4,9.0,8.18391576609813
97,2.5,0.0,0.0,9.0,3.5318435271640825
97,2.5,0.0,0.1,9.0,5.441744837771357
97,2.5,0.0,0.4,9.0,8.102780013642636
97,2.5,1.0,0.0,9.0,4.182231559102697
97,2.5,1.0,0.1,9.0,5.823434179120211
97,2.5,1.0,0.4,9.0,8.24510797902224
98,2.5,0.0,0.0,9.0,3.571468517047637
98,2.5,0.0,0.1,9.0,5.493521490014803
98,2.5,0.0,0.4,9.0,8.162796015358285
98,2.5,1.0,0.0,9.0,4.226421590460039
98,2.5,1.0,0.1,9.0,5.876873251021547
98,2.5,1.0,0.4,9.0,8.305396518590165
99,2.5,0.0,0.0,9.0,3.6110289203603
99,2.5,0.0,0.1,9.0,5.544871014080481
99,2.5,0.0,0.4,9.0,8.221961414778331
99,2.5,1.0,0.0,9.0,4.270440158021997
99,2.5,1.0,0.1,9.0,5.929810047502816
99,2.5,1.0,0.4,9.0,8.36482775380509
100,2.5,0.0,0.0,9.0,3.650409581584862
100,2.5,0.0,0.1,9.0,5.595676943807325
100,2.5,0.0,0.4,9.0,8.280315169699561
100,2.5,1.0,0.0,9.0,4.314156913571654
100,2.5,1.0,0.1,9.0,5.982142955983347
100,2.5,1.0,0.4,9.0,8.423449750582826
101,2.5,0.0,0.0,9.0,3.6928040482395392
101,2.5,0.0,0.1,9.0,5.649795403927807
101,2.5,0.0,0.4,9.0,8.339858483155657
101,2.5,1.0,0.0,9.0,4.361126951622264
101,2.5,1.0,0.1,9.0,6.037675700812177
101,2.5,1.0,0.4,9.0,8.48305878670946
102,2.5,0.0,0.0,9.0,3.735045833453958
102,2.5,0.0,0.1,9.0,5.703296440532017
